harga,lebih_satu_orang,km_dalam,wifi,listrik,ac,tipe
820000,1,0,1,1,0,2
410000,1,0,1,1,0,2
700000,0,0,1,1,0,0
1800000,0,1,1,0,1,2
1200000,1,1,1,0,1,2
700000,0,0,1,1,0,0
1105000,0,1,1,0,1,2
750000,1,0,1,1,0,1
600000,1,0,1,1,0,1
1300000,0,1,1,0,1,1
800000,0,0,0,0,1,2
1000000,1,1,0,0,1,2
370000,1,1,1,1,1,2
600000,0,0,1,1,0,2
1300000,0,0,1,0,1,1
600000,1,0,1,1,0,2
1400000,0,1,1,0,1,1
1300000,1,0,1,0,1,1
500000,1,0,1,1,0,1
800000,1,0,1,1,0,1
950000,0,0,1,0,1,2
900000,0,0,1,1,0,2
750000,1,0,1,1,0,1
800000,1,0,1,1,0,1
1800000,0,1,1,0,1,1
1000000,1,1,1,1,0,2
1700000,1,0,1,1,1,2
700000,0,0,1,1,0,2
600000,0,1,1,0,0,2
2000000,1,1,1,1,1,0
1400000,0,1,1,0,1,2
600000,1,0,1,1,0,2
1300000,1,1,1,0,1,2
900000,1,1,1,1,0,1
1000000,0,0,1,0,1,2
2600000,0,1,1,1,1,0
2000000,1,1,1,0,1,1
1300000,1,1,1,1,1,2
370000,1,1,1,1,1,1
4000000,1,1,1,0,1,2
500000,1,0,1,1,0,2
650000,1,0,1,1,0,0
850000,0,0,1,0,1,1
750000,1,1,1,1,1,1
600000,0,0,1,1,0,2
12000000,0,0,1,1,1,1
255000,1,0,1,1,0,1
1500000,0,1,1,0,1,0
400000,1,1,1,1,1,2
500000,0,0,0,1,0,2
700000,0,1,1,1,0,1
1450000,0,0,1,0,1,1
1350000,1,0,1,1,1,2
650000,1,1,1,1,0,0
800000,1,0,1,1,0,2
1700000,1,1,1,0,1,0
1350000,1,0,0,1,1,2
1300000,0,0,0,1,1,2
1550000,0,0,0,1,1,2
1350000,0,0,0,1,1,2
950000,1,0,1,1,1,2
3600000,1,1,1,1,1,0
2500000,0,1,1,1,1,2
1700000,1,1,1,0,1,0
1800000,1,1,1,0,1,0
1600000,1,1,1,0,1,0
800000,1,0,0,1,0,0
800000,0,1,0,0,0,0
800000,0,1,1,0,1,0
800000,0,1,1,0,1,0
2400000,0,0,1,0,1,2
775000,0,0,0,1,0,1
1700000,0,1,1,1,1,2
1300000,0,1,1,1,1,2
1000000,0,1,0,0,0,1
1700000,1,1,1,0,1,0
850000,0,0,0,1,0,1
2100000,1,1,1,0,1,0
875000,0,1,0,0,0,2
700000,1,0,0,1,0,1
2250000,0,1,1,0,1,0
600000,0,1,0,1,0,1
912000,0,0,0,1,0,2
900000,1,0,0,1,0,2
2000000,1,1,1,0,1,2
1500000,1,0,1,0,1,1
1500000,1,0,1,0,1,2
550000,0,0,0,1,0,1
2000000,0,1,1,0,1,2
700000,0,0,0,1,0,2
1625000,0,0,0,1,0,0
3250000,0,1,1,0,1,2
1800000,1,1,0,0,0,0
2300000,1,1,1,0,1,0
600000,0,0,0,0,0,2
1700000,0,1,1,0,1,1
1100000,0,0,1,1,1,2
750000,1,0,0,0,0,0
1000000,1,0,0,0,0,0
500000,0,0,0,0,0,2
2000000,1,1,1,0,1,0
950000,1,0,0,1,0,2
2000000,1,1,1,0,1,0
1300000,1,1,1,0,1,0
1700000,1,1,1,0,1,0
1600000,1,1,1,0,1,0
875000,0,1,0,0,0,2
800000,1,0,0,1,0,2
500000,0,0,0,1,0,1
750000,0,0,0,1,0,2
700000,0,1,0,1,0,2
600000,0,0,0,0,0,2
2300000,1,1,1,0,1,0
1800000,1,1,1,0,1,0
1500000,0,1,1,0,1,2
1000000,1,1,0,1,0,2
